# Fix print output for fix log_energy
-210000.007086575 2205.4659360429 -207794.541150532
-209978.468793259 2184.00627987217 -207794.462513387
-209914.98607839 2120.73034131724 -207794.255737073
-209812.760880219 2018.82913046733 -207793.931749751
-209676.714583462 1883.21211100445 -207793.502472458
-209513.150089581 1720.21233864217 -207792.937750938
-209329.77678881 1537.54985196339 -207792.226936847
-209135.584357375 1344.19452606687 -207791.389831308
-208940.407594537 1149.93678545662 -207790.47080908
-208754.267057906 964.73603046784 -207789.531027438
-208586.595893233 797.958925967767 -207788.636967265
-208445.470072177 657.618755514312 -207787.851316662
-208336.938793597 549.719282297285 -207787.2195113
-208264.55391086 477.789656458945 -207786.764254401
-208229.147778063 442.669335794666 -207786.478442268
-208228.896423324 442.565874443931 -207786.33054888
-208259.643269063 473.37025992911 -207786.273009134
-208315.434929244 529.181335549956 -207786.253593694
-208389.184796443 602.965653184769 -207786.219143258
-208473.388572137 687.264995137383 -207786.123576999
-208560.794415688 774.864012639294 -207785.930403049
-208644.957988368 859.345801534157 -207785.612186834
-208720.646209802 935.4932360278 -207785.152973775
-208784.07344548 999.525433447595 -207784.548012033
-208832.988333059 1049.18540381668 -207783.802929242
-208866.6376337 1083.70876893135 -207782.928864768
-208885.648402855 1103.70533604654 -207781.943066809
-208891.843744269 1110.97719110009 -207780.866553169
-208888.004163938 1108.27960759791 -207779.72455634
-208877.571979813 1099.0277783927 -207778.544201421
-208864.313148085 1086.96224316262 -207777.350904922
-208851.967996246 1075.79934980059 -207776.168646445
-208843.910365149 1068.89600495439 -207775.014360194
-208842.857440477 1068.955786721 -207773.901653756
-208850.635091306 1077.8022263706 -207772.832864936
-208868.043984661 1096.23849144826 -207771.805493213
-208894.814059024 1124.00297501282 -207770.811084011
-208929.65616537 1159.82105807472 -207769.835107295
-208970.403490421 1201.54144027184 -207768.862050149
-209014.215497399 1246.34022163261 -207767.875275767
-209057.83171412 1290.97237758921 -207766.859336531
-209097.847101349 1332.04476840511 -207765.802332944
-209130.984793709 1366.29029782263 -207764.694495886
-209154.358282691 1390.82695761133 -207763.53132508
-209165.692380261 1403.38081474921 -207762.311565511
-209163.497831337 1402.46078618548 -207761.037045151
-209147.194796489 1387.48123897991 -207759.713557509
-209117.173491407 1358.82340941555 -207758.350081992
-209074.786457913 1317.82753355723 -207756.958924356
-209022.269306926 1266.71604482324 -207755.553262103
-208962.604545867 1208.45419901145 -207754.150346855
-208899.319839452 1146.55275950469 -207752.767079947
-208836.241135778 1084.82054190148 -207751.420593876
-208777.214093576 1027.08679190805 -207750.127301668
-208725.814344279 976.915138536075 -207748.899205743
-208685.076419801 937.333744987657 -207747.742674813
-208657.265666516 910.60600659351 -207746.659659922
-208643.705896456 898.062184007119 -207745.643712449
-208644.692249504 900.009329050704 -207744.682920454
-208659.486400735 915.727137732669 -207743.759263002
-208686.40153727 943.550713902348 -207742.850823367
-208722.964752025 981.029344609143 -207741.935407416
-208766.13419606 1025.14295856044 -207740.9912375
-208812.552381387 1072.55240209157 -207739.999979295
-208858.805802818 1119.85832334088 -207738.947479477
-208901.673321812 1163.84793534896 -207737.825386463
-208938.34366721 1201.71372684667 -207736.629940364
-208966.594006175 1231.23187931738 -207735.362126857
-208984.917987185 1250.88928675358 -207734.028700431
-208992.592804282 1259.95418462796 -207732.638619654
-208989.695660229 1258.49204361618 -207731.203616613
-208977.067329502 1247.33027774955 -207729.737051752
-208956.227037876 1227.97349320664 -207728.25354467
-208929.24245877 1202.47509489887 -207726.767363871
-208898.564612612 1173.27141184627 -207725.293200766
-208866.832891531 1142.98805238591 -207723.844839145
-208836.666074645 1114.23417668655 -207722.431897958
-208810.464194581 1089.40214549416 -207721.062049087
-208790.225502315 1070.4870386829 -207719.738463632
-208777.401231898 1058.94061465401 -207718.460617244
-208772.797081858 1055.57476723272 -207717.222314625
-208776.535642691 1060.52038112642 -207716.015261564
